"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","16870","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19145","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19520","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","18340","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","17682","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","17557","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","16318","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","25302","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19194","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19432","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","20278","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","18424","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","13684","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","30877","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","32817","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","33304","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","30265","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","18900","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","18374","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","13295","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","16319","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","17888","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","17595","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","16199","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","17012","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","16734","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","17783","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","17777","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","16647","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","15427","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","15061","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","15181","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","20085","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","16162","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","15176","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","15605","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","13820","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","10943","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","24936","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","26844","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","26807","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","25429","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16440","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16470","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","12724","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","15526","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16297","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","17948","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16374","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16249","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16183","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16476","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","15571","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","14733","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","13314","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","12834","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","13052","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","16291","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","13899","","","","0"
